company,industry,address,plz,region_prio,phone,email,website,doors_in_use,brand,year,photo_url,source_url,maps_link,source_type
GoodMills Deutschland GmbH (Castellmühle Krefeld),"Mühlenunternehmen / Lebensmittelproduktion (eine der größten Mühlen Europas, 300.000 t Mehl/Jahr)","Castellweg 4, 47809 Krefeld",47809,Deutschland,+49 2151 7370-0,info@goodmills.de,https://www.goodmills.de/de/standorte/castellmuehle-krefeld/,"6 Spiraltore an der Getreideannahmehalle, 8 Industrie-Sektionaltore in der Tankwagen-Verladehalle, 4 Verladestellen mit Vorsatzschleusen, hydraulischen Ladebrücken (3 m, 50-cm-Vorschublippe), Rolltoren und Torabdichtungen, flexible Schnelllauftore (SoftEdge), Feuerschutz-Schiebetor",Hörmann,2021,https://industrieanzeiger.industrie.de/wp-content/uploads/P/M/PM_2011-FL_Anwenderreportage_Goodmills_Bild_2.jpg,https://industrieanzeiger.industrie.de/themen/industriebau/individuell-angepasste-hallentore-von-hoermann-sorgen-fuer-eine-ausgekluegelte-logistik/,https://maps.google.com/?q=Castellweg%204%2C%2047809%20Krefeld&t=k,Markenreferenz Hörmann/Novoferm
WITTENSTEIN SE (Innovationsfabrik),"Mechatronische Antriebstechnik (Getriebe, Servoantriebe) – Innovationsfabrik mit Produktion, Versand und Verladerampen","Walter-Wittenstein-Straße 1, 97999 Igersheim",97999,Deutschland,+49 7931 493-0,info@wittenstein.de,https://www.wittenstein.de,"Wärmegedämmte Industrie-Sektionaltore SPU F42 (Sonderlackierung) vor den Ladebrücken, flexible Schnelllauftore (2 m/s, SoftEdge, Sicherheitslichtgitter) zwischen Produktion und Versand, T30 Feuerschutz-Schiebetore und -türen",Hörmann,2014,,https://cdn.hoermann-cloud.de/fileadmin/_country/presse/pdf/PM_1434-FA_Hoermann_Objektreportage_Wittenstein_Innovationsfabrik.pdf,https://maps.google.com/?q=Walter-Wittenstein-Stra%C3%9Fe%201%2C%2097999%20Igersheim&t=k,Markenreferenz Hörmann/Novoferm
Bestpool GmbH,Hersteller/Vertrieb von Schwimmbadchemikalien und Chlorungsanlagen (Lagerhalle in drei Brandabschnitten),"Liebigstraße 28, 33803 Steinhagen",33803,Deutschland,+49 5204 922828-0,info@bestpool.de,https://bestpool.de,Feuerschutz-Schiebetor FST 90-1 und Feuerschutztür T90 H16 in der Brandwand – hielten bei Großbrand über drei Stunden stand und verhinderten den Totalschaden,Hörmann (Tortec Brandschutztor),2018,https://www.hoermann.de/portal/fileadmin/Global_Images/Portal58/Header/unternehmen_hoermann_feuerschutz-schiebetor-und-feuerschutztuer-verhindert-totalschaden_bestpool_steinhagen_aussenansicht.jpg,https://www.hoermann.de/portal/portal-58-international/de/hoermann-bestpool/,https://maps.google.com/?q=Liebigstra%C3%9Fe%2028%2C%2033803%20Steinhagen&t=k,Markenreferenz Hörmann/Novoferm
ebm-papst Mulfingen GmbH & Co. KG,Hersteller von Ventilatoren und Elektromotoren (Versandzentrum Hollenbach),"Bachmühle 2, 74673 Mulfingen",74673,Deutschland,+49 7938 81-0,info1@de.ebmpapst.com,https://www.ebmpapst.com,"50 Verladeschleusen NovoDock P1530i, 8 Rollgitter, 74 Industrie-Sektionaltore Thermo 40, 4 Schnelllaufrolltore NovoSpeed Flex HardEdge, 2 Feuerschutz-Schiebetore (T30/T90 SKE), 67 Rohrrahmentüren NovoFire, 46 Stahlblechtüren NovoPorta Premio",Novoferm,2017,https://www.novoferm.de/fileadmin/files/novoferm_de/Dateien/objektberichte/Ref_EBM_Papst.jpg,https://www.novoferm.de/industriekunden/referenzen-objektberichte/logistik-und-produktionsgebaeude/,https://maps.google.com/?q=Bachm%C3%BChle%202%2C%2074673%20Mulfingen&t=k,Markenreferenz Hörmann/Novoferm
Freudenberg Filtration Technologies GmbH & Co. KG (Logistikzentrum Kaiserslautern),Filtrationstechnik (micronAir Innenraumfilter) – Logistikzentrum ca. 12.000 m²,"Liebigstraße 2-8, 67661 Kaiserslautern",67661,Rhein-Main/Rhein-Neckar,+49 631 5341-0,info@freudenberg-filter.com,https://www.freudenberg-filter.com,"Sensorgesteuertes Andocksystem NovoEASY, Überladebrücken NovoDock, Torabdichtungen NovoSeal und Zubehör",Novoferm,2013,https://www.novoferm.de/fileadmin/files/novoferm_de/Dateien/objektberichte/Ref_Freudenberg.jpg,https://www.novoferm.de/industriekunden/referenzen-objektberichte/logistik-und-produktionsgebaeude/,https://maps.google.com/?q=Liebigstra%C3%9Fe%202-8%2C%2067661%20Kaiserslautern&t=k,Markenreferenz Hörmann/Novoferm
BTG Feldberg & Sohn GmbH & Co. KG,Spedition / Umschlaglogistik inkl. Gefahrgut (Umschlaghalle 6.000 m²),"Wüppings Weide 1, 46395 Bocholt",46395,Deutschland,+49 2871 9970-0,info@btg-feldberg.de,https://btg-feldberg.de,"74 hydraulische Überladebrücken NovoDock L500i, 74 Torabdichtungen NovoSeal S420, 77 Thermo-Sektionaltore",Novoferm,,https://www.novoferm.de/fileadmin/files/novoferm_de/Dateien/objektberichte/Ref_BTG-Bocholt.jpg,https://www.novoferm.de/industriekunden/referenzen-objektberichte/logistik-und-produktionsgebaeude/,https://maps.google.com/?q=W%C3%BCppings%20Weide%201%2C%2046395%20Bocholt&t=k,Markenreferenz Hörmann/Novoferm
Symbiolog GmbH,Kontraktlogistik / Logistikzentrum Burgbernheim,"Im Grund 3, 91593 Burgbernheim",91593,Deutschland,+49 9843 935650,kontakt@symbiolog.de,https://www.symbiolog.de,"Überladebrücken NovoDock L530i und VL6020, Industrie-Sektionaltore Thermo 40, Industrie-Sektionaltor Alu 40 (6000 x 5000 mm), Rohrrahmentüren NovoFire, Stahlblechtüren NovoPorta Premio",Novoferm,2017,https://www.novoferm.de/fileadmin/files/novoferm_de/Dateien/objektberichte/Logistikzentrum-symbiolog-01.jpg,https://www.novoferm.de/industriekunden/referenzen-objektberichte/logistik-und-produktionsgebaeude/,https://maps.google.com/?q=Im%20Grund%203%2C%2091593%20Burgbernheim&t=k,Markenreferenz Hörmann/Novoferm
LÖWEN ENTERTAINMENT GmbH (ehem. NSM-Löwen Entertainment),Hersteller von Geldspiel- und Unterhaltungsautomaten,"Saarlandstraße 240, 55411 Bingen",55411,Deutschland,+49 6721 4070,info@loewen.de,https://www.loewen.de,"Überladebrücken NovoDock L500i, Torabdichtungen NovoSeal S420, Industrie-Sektionaltore NovoDoor Thermo 45, Schnelllauftore NovoSpeed Heavy Indoor, Mehrzweck- und Feuerschutztüren",Novoferm,,https://www.novoferm.de/fileadmin/files/novoferm_de/Dateien/objektberichte/Ref_NSM-Loewen-Entertainment.jpg,https://www.novoferm.de/industriekunden/referenzen-objektberichte/logistik-und-produktionsgebaeude/,https://maps.google.com/?q=Saarlandstra%C3%9Fe%20240%2C%2055411%20Bingen&t=k,Markenreferenz Hörmann/Novoferm
Hermes Germany GmbH (Logistik-Hub West),"KEP-/Paketlogistik (Verteilzentrum 12.000 m², über 50 Mio. Sendungen p.a., 24/7-Betrieb)","Porschestraße 32, 41836 Hückelhoven",41836,Deutschland,+49 40 53755-0,,https://www.hermesworld.com,"114 Verladestellen mit Novoferm Industrie-Sektionaltoren (45 mm Stahllamellen, 110 manuell betrieben) und 114 elektrohydraulischen Überladebrücken mit Ausschublippe (davon 2 Stück 4,0 x 2,0 m), Sonder-Torabdichtungen mit separatem Feuchteschutz-Vorhang, Stahlpuffer",Novoferm,2008,https://cdn.heinze.de/m1/87/10038387/images/55/12501755px320x291.jpg,https://www.heinze.de/architekturobjekt/hermes-logistik-hub-west/10038387/,https://maps.google.com/?q=Porschestra%C3%9Fe%2032%2C%2041836%20H%C3%BCckelhoven&t=k,Markenreferenz Hörmann/Novoferm
Volvo Construction Equipment Germany GmbH (Werk Konz),Baumaschinenhersteller (Produktion von Baggern und kompakten Radladern),"Max-Planck-Straße 1, 54329 Konz",54329,Deutschland,+49 6501 84-0,info.volvoce-konz@volvo.com,https://www.volvoce.com/global/en/about-us/who-we-are/our-locations/konz/,"45 Hallentore in drei Bauabschnitten erneuert; u.a. 16 Falttor-/Rolltor-Kombinationen ersetzt durch Schnelllaufrolltore NovoSpeed Alu (Breiten 1.700-5.200 mm, Höhen 3.150-5.200 mm, 1,8-2,5 m/s, transparente Lichtbänder)",Novoferm,2009,,https://www.heinze.de/architekturobjekt/volvo-construction-equipment-konz/10038296/,https://maps.google.com/?q=Max-Planck-Stra%C3%9Fe%201%2C%2054329%20Konz&t=k,Markenreferenz Hörmann/Novoferm
EVB BauPunkt Einkaufs- und Handelsgemeinschaft GmbH & Co. KG,"Großhandel / Einkaufsgemeinschaft für Baugeräte und Werkzeuge (Logistikzentrum mit Hochregallager, Gewerbegebiet Voralb)","Zillenhardtstraße 46, 73037 Göppingen",73037,Deutschland,+49 7161 99931-0,info@evb.de,https://www.evb.de,"Industrie-Sektionaltore Thermo (40-mm-Profilserie) am 12 m hohen, stützenfreien Logistikzentrum mit Hochregallager",Novoferm,,,https://www.heinze.de/architekturobjekt/logistikzentrum-mit-hochregallager-evb-baupunkt/12609407/,https://maps.google.com/?q=Zillenhardtstra%C3%9Fe%2046%2C%2073037%20G%C3%B6ppingen&t=k,Markenreferenz Hörmann/Novoferm
"D.LIVE GmbH & Co. KG (PSD BANK DOME, ehem. ISS Dome)",Betreiber Multifunktionsarena / Veranstaltungsstätte (Heimspielstätte Düsseldorfer EG),"Theodorstraße 281, 40472 Düsseldorf",40472,Deutschland,+49 211 1598-1200,info@d-live.de,https://www.issdome.de,"32 Rolltore Typ TH80, 284 Feuerschutztüren, 58 Mundlochtüren mit Panikstangen",Novoferm,,https://www.novoferm.de/fileadmin/files/novoferm_de/Dateien/objektberichte/Ref_ISS-Dome.jpg,https://www.novoferm.de/referenzen/sportstadien,https://maps.google.com/?q=Theodorstra%C3%9Fe%20281%2C%2040472%20D%C3%BCsseldorf&t=k,Markenreferenz Hörmann/Novoferm
E.L.V.I.S. Teilladungssystem GmbH (ELVIS AG Truckport),"Spedition / Teilladungs-Netzwerk, zentrales Umschlagterminal (ELVIS-Hub, 10.000 m² Umschlaghalle)","Am Elvis Terminal 1, 34593 Knüllwald-Remsfeld",34593,Deutschland,+49 5681 931290,,https://www.elvis-ag.com,"8 XXL-Rolltore ThermoTeck, je 15 m breit und ca. 5 m hoch, mit verfahrbarer Mittelstütze (je 2 Ein- und Ausfahrten der Umschlaghalle)",Teckentrup ThermoTeck (XXL-Rolltore),2012,https://www.teckentrup.biz/fileadmin/_processed_/9/0/csm_Elvis_1_a4af245824.jpg,https://www.teckentrup.biz/referenzen/elvis-ag-truckport,https://maps.google.com/?q=Am%20Elvis%20Terminal%201%2C%2034593%20Kn%C3%BCllwald-Remsfeld&t=k,Markenreferenz weitere Hersteller
Magdeburger Hafen GmbH,Binnenhafen- und Hafenlogistik (Gewerbepark Hafen Magdeburg; am Standort Fertigung von Windkraft-Komponenten),"Saalestraße 20, 39126 Magdeburg",39126,Deutschland,+49 391 5939-0,logistik@magdeburg-hafen.de,https://www.magdeburg-hafen.de,"1 Rolltor ThermoTeck 10 x 10 m (100 m² Torfläche), RAL 9006, abgehängte Montage, Kettenantrieb TKR 50.75 KE 400V/3Ph mit Nothandkette, ausgelegt auf hohe Windlasten; Verarbeiter: Lingner GmbH Tor- und Türtechnik",Teckentrup ThermoTeck (Rolltor),,https://www.teckentrup.biz/fileadmin/_processed_/2/5/csm_malikstudio-teckentrup-madgeburger-hafen-3751_0d80485ed4.jpg,https://www.teckentrup.biz/referenzen/hafen-magdeburg,https://maps.google.com/?q=Saalestra%C3%9Fe%2020%2C%2039126%20Magdeburg&t=k,Markenreferenz weitere Hersteller
Stadt Lünen – Feuer- und Rettungswache Lünen,"Kommunale Feuerwehr und Rettungsdienst (Neubau, 13 Mio. € Investition, 14.200 m² Gelände)","Kupferstraße 60, 44532 Lünen",44532,Deutschland,+49 2306 767-0,,https://www.luenen.de/de/mein-luenen/feuerwehr/,"47 kraftbetätigte Industrie-Sektionaltore ""SL"" mit hohem Glasanteil (Öffnungsgeschwindigkeit ca. 0,25 m/s, Alarmkopplung über Leitstelle, Notentriegelung mit Handkette), dazu Feuerschutztüren",Teckentrup SL (Industrie-Sektionaltore),2012,https://www.teckentrup.biz/fileadmin/_processed_/6/c/csm_Luenen_1_6ccc299116.jpg,https://www.teckentrup.biz/referenzen/feuer-/rettungswache-luenen,https://maps.google.com/?q=Kupferstra%C3%9Fe%2060%2C%2044532%20L%C3%BCnen&t=k,Markenreferenz weitere Hersteller
Stadt Leverkusen – Hauptfeuer- und Rettungswache Leverkusen-Wiesdorf,Kommunale Berufsfeuerwehr und Rettungsdienst (Neubau der Hauptwache),"Edith-Weyde-Straße 12, 51373 Leverkusen",51373,Deutschland,+49 214 7505-0,,https://www.leverkusen.de/themen/feuerwehr/berufsfeuerwehr/standorte/,"62 Sektionaltore ALU 60 (41x 3,7 x 4,5 m, 12x 3,8 x 4,5 m, 9x 3,65 x 4,5 m), 58 davon mit GfA-Steuerung für ca. 3-fach schnellere Öffnung (ca. 0,5 m/s, Ausrücken nach ca. 9 Sekunden); Montage: Kaldunski+Löhr Torsysteme, Gelsenkirchen",Alpha Deuren ALU 60,2018,https://www.public-manager.com/typo3temp/_processed_/1/9/csm_alpha_ALU_5dd914ebf6.jpg,https://www.public-manager.com/aktuelles/einzelansicht/archive/2019/november/article/schnelle-sektionaltore-von-alpha-deuren-fuer-feuerwache.html,https://maps.google.com/?q=Edith-Weyde-Stra%C3%9Fe%2012%2C%2051373%20Leverkusen&t=k,Markenreferenz weitere Hersteller
Hack Formenbau GmbH,Formenbau / Spritzgussformen (neue Produktionshalle),"Wielandstraße 11, 73230 Kirchheim unter Teck",73230,Deutschland,+49 7021 9756-0,info@hack-formenbau.de,https://www.hack-formenbau.de,"1 Schnelllauf-Spiraltor ""Helix"" (Öffnungsgeschwindigkeit 1,1 m/s, Aluminium-Welle mit Frequenzumrichter-Antrieb, ohne Gewichtsausgleichsfedern) und 1 Sektionaltor ISO-60 (60 mm Paneel) mit Schnelllaufantrieb; Montage: Eret Tortechnik GmbH",Alpha Deuren Helix (Spiraltor) + ISO-60 (Sektionaltor),2016,,https://logistra.de/news/nfz-fuhrpark-lagerlogistik-intralogistik-hack-formenbau-produktionshalle-ausgestattet-mit-innovativen-toren-12549.html,https://maps.google.com/?q=Wielandstra%C3%9Fe%2011%2C%2073230%20Kirchheim%20unter%20Teck&t=k,Markenreferenz weitere Hersteller
BASF SE,Chemiekonzern (Werk Ludwigshafen),"Carl-Bosch-Straße 38, 67056 Ludwigshafen am Rhein",67056,Rhein-Main/Rhein-Neckar,+49 621 60-0,,https://www.basf.com,"Verladeplattform mit Einhausung und flexibler Andockmöglichkeit (Verladung gerade vom Gebäude weg oder im rechten Winkel entlang des Gebäudes), Witterungsschutz über Schnellspannplane",BUTT GmbH (Verladeplattform / Verladetechnik),,https://www.butt.de/assets/images/c/butt-verladeplattform-BASF-2-294c8576.png,https://www.butt.de/de/aktuell/verladeplattform-fuer-basf,https://maps.google.com/?q=Carl-Bosch-Stra%C3%9Fe%2038%2C%2067056%20Ludwigshafen%20am%20Rhein&t=k,Markenreferenz weitere Hersteller
Eisbär Eis GmbH,Speiseeis-Hersteller (tiefkühllogistische Verladung),"Eisbärstraße 1, 21641 Apensen",21641,Deutschland,+49 4167 9123-0,info.apn@eisbaer-eis.de,https://www.eisbaer-eis.de,Wärmegedämmte Verladeschleuse (Upgrade einer bestehenden Verladestelle),BUTT GmbH (wärmegedämmte Verladeschleuse),,https://www.butt.de/assets/images/8/1-87f3cba2.jpeg,https://www.butt.de/de/aktuell/neues-upgrade-gleicher-frostiger-service,https://maps.google.com/?q=Eisb%C3%A4rstra%C3%9Fe%201%2C%2021641%20Apensen&t=k,Markenreferenz weitere Hersteller
AGROLAB Labor GmbH (AGROLAB Group),"Umwelt- und Agraranalytik (Labor für Boden-, Wasser-, Abwasser- und Klärschlammproben)","Dr.-Pauling-Straße 3, 84079 Bruckberg",84079,Deutschland,+49 8765 93996-0,labor@agrolab.de,https://www.agrolab.com,"3 Schnelllauftore im Hochregallager: 1x EFA-SST-L Eco, 1x EFA-STR L Premium, 1x EFA-STT L Eco (Außentor zum Wirtschaftshof)",EFAFLEX (EFA-SST / EFA-STR / EFA-STT),2026,https://www.baulinks.de/webplugin/2026/i/scaled/1148_x_0934-efaflex-01.jpg,https://www.baulinks.de/webplugin/2026/0934.php4,https://maps.google.com/?q=Dr.-Pauling-Stra%C3%9Fe%203%2C%2084079%20Bruckberg&t=k,Markenreferenz weitere Hersteller
BauGrund Süd Gesellschaft für Geothermie mbH,"Geothermie / Erdwärmebohrungen, Baugrunderkundung, Brunnenbau","Zeppelinstraße 10, 88410 Bad Wurzach",88410,Deutschland,+49 7564 9313-0,info@baugrundsued.de,https://www.baugrundsued.de,"10 Schnelllauftore in der neuen Wartungs- und Servicehalle: 8x EFA-SST-L Basic, 2x EFA-SST-S ECO (mit Efatherm-Isolierlamellen)",EFAFLEX EFA-SST,2024,https://www.baulinks.de/webplugin/2024/i/0927-efaflex-01.jpg,https://www.baulinks.de/webplugin/2024/0927.php4,https://maps.google.com/?q=Zeppelinstra%C3%9Fe%2010%2C%2088410%20Bad%20Wurzach&t=k,Markenreferenz weitere Hersteller
